Household ID,Date,House Type,Family Members,Number of Rooms,AC Usage (Hours),Fan Usage (Hours),Refrigerator Usage (Hours),Washing Machine Usage (Hours),Water Motor Usage (Hours),Lighting (Hours),Outdoor Temperature (C),Day of Week,Season,Is Holiday,Daily Consumption (kWh)
CD5F4822,2026-03-09,Single Family Home,5,4,2.7,11.2,11.2,0.5,1.6,6.0,31.3,Monday,Spring/Autumn,0,13.86
DBCCC477,2025-12-26,Single Family Home,8,5,0.0,2.3,11.9,1.9,1.2,7.3,11.4,Friday,Winter,1,9.36
3A43B2BA,2025-09-26,Single Family Home,7,5,14.0,14.0,12.1,2.3,1.6,5.3,44.0,Friday,Summer,1,36.03
C5F8BC16,2025-10-17,Portion,6,3,2.7,5.8,10.1,0.2,1.2,8.9,29.0,Friday,Spring/Autumn,0,13.33
2DB69EDB,2026-02-04,Villa,1,5,0.0,1.7,10.8,2.4,1.1,9.0,6.1,Wednesday,Winter,1,9.09
504D281F,2025-12-13,Apartment,7,4,0.0,0.0,13.1,1.2,1.3,8.6,14.8,Saturday,Winter,1,7.08
B572F3D0,2025-12-13,Single Family Home,6,6,0.0,2.1,11.0,2.7,0.6,8.7,19.4,Saturday,Winter,1,11.7
EBB7A385,2025-11-04,Villa,2,10,0.0,4.0,13.8,2.8,1.1,9.7,15.0,Tuesday,Winter,1,19.12
688C7015,2025-11-03,Villa,3,6,0.0,3.3,13.6,2.5,1.0,8.8,12.6,Monday,Winter,1,11.19
AD64B56C,2026-04-06,Single Family Home,5,6,2.6,10.1,12.5,0.3,1.5,6.5,23.0,Monday,Spring/Autumn,0,16.2
6E0D2648,2026-04-20,Villa,8,8,1.3,8.3,10.9,2.4,1.1,10.2,23.3,Monday,Spring/Autumn,1,18.4
7922BAC2,2026-04-23,Single Family Home,2,5,2.2,7.3,11.7,2.8,1.2,9.5,24.9,Thursday,Spring/Autumn,1,17.0
C04A96C4,2025-09-30,Villa,4,6,13.7,16.6,11.4,0.8,1.5,7.4,43.6,Tuesday,Summer,0,39.05
FBE33B24,2025-12-27,Apartment,8,3,0.0,3.0,12.4,1.4,1.0,7.3,11.3,Saturday,Winter,1,7.26
31C681EC,2026-03-26,Portion,8,6,1.3,9.4,10.7,0.5,1.4,6.8,20.3,Thursday,Spring/Autumn,0,15.25
016B6287,2026-05-29,Apartment,7,2,4.4,18.8,12.6,0.1,1.5,5.8,35.3,Friday,Summer,0,13.5
8498E113,2025-12-24,Single Family Home,2,6,0.0,0.8,13.0,0.4,0.8,10.5,10.7,Wednesday,Winter,0,11.9
87F8424D,2026-07-03,Villa,8,9,2.5,12.2,14.0,1.7,2.3,6.6,37.5,Friday,Summer,1,25.97
722764E6,2026-05-31,Portion,8,5,13.5,23.4,10.1,1.3,1.8,4.5,41.5,Sunday,Summer,1,37.38
A33DC7AF,2025-10-16,Portion,4,5,0.9,9.6,10.7,2.2,1.8,10.5,26.8,Thursday,Spring/Autumn,1,14.47
3C07C574,2025-10-14,Villa,2,6,3.9,4.9,11.2,0.7,1.0,11.7,29.8,Tuesday,Spring/Autumn,0,18.68
271E3EE2,2026-03-22,Apartment,7,3,0.3,9.5,10.4,2.5,1.6,11.1,28.6,Sunday,Spring/Autumn,1,12.11
6A702E2F,2025-07-29,Portion,7,3,7.9,21.4,11.7,1.7,2.0,6.0,36.2,Tuesday,Summer,1,24.0
5A0CDD7C,2025-10-24,Portion,7,4,3.3,4.8,12.5,2.7,2.0,10.2,30.2,Friday,Spring/Autumn,1,16.88
7C5308BF,2025-07-17,Villa,7,10,15.7,15.2,12.2,0.5,2.7,5.7,42.3,Thursday,Summer,0,48.21
20AC3703,2026-06-30,Apartment,7,4,7.1,22.0,13.5,0.2,1.6,5.9,37.7,Tuesday,Summer,0,25.14
22BD3388,2026-05-20,Single Family Home,1,5,6.3,22.2,10.8,2.6,1.8,5.4,38.8,Wednesday,Summer,1,28.05
53AC2AB9,2025-11-07,Portion,5,6,0.0,1.1,13.8,1.2,0.5,10.3,15.5,Friday,Winter,1,10.56
04F64D86,2026-04-07,Apartment,6,2,2.8,9.2,13.2,0.1,1.5,7.3,29.1,Tuesday,Spring/Autumn,0,12.51
0A4E5B70,2026-04-09,Single Family Home,4,3,2.3,7.8,11.7,0.7,1.5,8.0,23.7,Thursday,Spring/Autumn,0,13.37
AB61A7B1,2025-08-17,Single Family Home,8,5,3.5,13.4,10.5,2.1,1.8,7.0,37.7,Sunday,Summer,1,18.36
9B1BC895,2026-02-14,Apartment,3,3,0.0,1.9,13.9,2.0,1.2,7.7,8.2,Saturday,Winter,1,6.59
EDCB8CB6,2025-10-29,Portion,7,4,0.9,5.4,12.1,0.3,1.0,11.8,22.3,Wednesday,Spring/Autumn,0,11.93
A092F52A,2025-10-03,Villa,2,9,0.5,10.9,13.5,0.6,1.5,8.8,28.4,Friday,Spring/Autumn,0,20.89
A9597663,2025-11-19,Villa,1,8,0.0,0.2,11.9,2.6,1.4,8.4,7.8,Wednesday,Winter,1,10.91
5CB85AED,2026-02-24,Portion,3,6,0.0,0.2,12.3,0.3,0.6,12.0,14.4,Tuesday,Winter,0,9.21
A6846099,2025-10-13,Portion,8,6,2.4,10.3,12.1,1.9,1.2,8.7,29.2,Monday,Spring/Autumn,1,20.02
D4AAC9A3,2026-06-14,Villa,8,6,9.1,19.5,13.0,2.9,2.4,4.8,44.9,Sunday,Summer,1,31.59
9C3EB2D5,2026-03-08,Villa,1,8,0.6,5.4,10.0,1.9,1.1,9.6,27.9,Sunday,Spring/Autumn,1,15.56
7CD0129D,2025-09-22,Villa,6,7,6.2,20.4,12.7,2.8,2.2,7.2,37.3,Monday,Summer,1,32.71
F2B43ABF,2025-09-14,Single Family Home,7,6,15.3,17.1,12.6,2.8,2.3,7.3,41.6,Sunday,Summer,1,40.64
B0CBC61F,2025-12-28,Portion,8,3,0.0,1.2,12.3,1.6,1.2,6.7,7.5,Sunday,Winter,1,8.06
6786D506,2026-03-17,Villa,6,8,3.8,8.0,10.3,1.1,1.5,8.6,28.4,Tuesday,Spring/Autumn,1,21.45
8CE6424D,2025-11-05,Portion,5,5,0.0,0.4,13.3,2.2,1.5,11.7,8.8,Wednesday,Winter,1,13.76
314D3441,2025-10-30,Single Family Home,4,4,1.1,4.3,11.9,2.3,1.8,11.5,28.1,Thursday,Spring/Autumn,1,12.31
FA02EAEC,2026-04-11,Villa,2,6,2.5,7.9,11.4,1.7,1.1,10.0,27.0,Saturday,Spring/Autumn,1,19.5
2DEFE193,2025-10-25,Single Family Home,5,3,2.8,6.3,13.3,2.1,1.9,8.7,24.0,Saturday,Spring/Autumn,1,13.91
4AC9778D,2026-03-19,Single Family Home,8,3,3.9,7.2,14.0,0.7,1.5,9.3,23.9,Thursday,Spring/Autumn,0,15.07
7A8D03AA,2025-12-15,Single Family Home,1,5,0.0,1.4,12.5,2.5,1.3,7.2,7.8,Monday,Winter,1,9.87
6694C343,2026-01-02,Apartment,3,2,0.0,1.8,10.5,2.9,1.2,9.7,18.9,Friday,Winter,1,6.49
1E52D770,2026-01-27,Portion,4,6,0.0,2.2,10.4,3.0,1.1,11.5,7.4,Tuesday,Winter,1,12.85
DC33E1F9,2026-02-07,Portion,5,3,0.0,3.3,12.9,2.0,1.0,7.6,6.8,Saturday,Winter,1,9.32
19675F06,2026-06-18,Single Family Home,4,5,8.4,18.6,13.7,0.5,2.1,7.5,44.8,Thursday,Summer,0,30.77
8D4F5D27,2025-08-03,Apartment,7,3,6.7,17.0,12.0,2.6,2.9,5.1,37.8,Sunday,Summer,1,22.64
4A8FF810,2025-07-18,Villa,5,10,16.0,17.9,12.2,1.7,1.7,6.2,40.9,Friday,Summer,1,49.52
EC856F37,2025-10-11,Single Family Home,7,3,1.3,5.5,12.3,1.5,1.7,10.7,25.5,Saturday,Spring/Autumn,1,10.16
26242B40,2026-06-04,Single Family Home,2,3,13.1,21.7,12.7,0.8,2.1,7.9,42.4,Thursday,Summer,0,32.75
BFBBB17F,2026-05-04,Villa,8,5,5.0,19.1,13.5,1.9,2.8,6.1,35.4,Monday,Summer,1,25.23
670ACC5C,2026-06-17,Portion,8,3,10.1,19.9,11.9,1.0,1.7,5.4,42.2,Wednesday,Summer,0,27.36
5283AAC7,2026-02-12,Apartment,2,2,0.0,3.4,13.4,0.4,1.4,7.9,14.7,Thursday,Winter,0,7.7
D248A9A7,2025-10-13,Apartment,3,3,3.5,4.3,12.5,2.8,1.1,12.0,29.1,Monday,Spring/Autumn,1,16.18
FF37D19C,2026-02-06,Portion,2,6,0.0,0.4,13.5,1.9,1.1,10.2,11.5,Friday,Winter,1,13.06
AB8DDEB4,2025-08-14,Single Family Home,6,6,6.8,15.5,10.6,2.1,2.1,6.3,35.5,Thursday,Summer,1,28.29
668409E3,2026-04-30,Apartment,8,2,0.3,11.0,11.0,2.8,1.6,6.9,22.0,Thursday,Spring/Autumn,1,9.32
F85E06A1,2026-04-15,Apartment,8,3,1.0,4.1,13.6,0.7,1.8,6.9,23.0,Wednesday,Spring/Autumn,0,9.89
9F64EEED,2026-04-09,Portion,1,4,2.4,9.1,11.0,2.7,1.4,7.2,24.1,Thursday,Spring/Autumn,1,14.31
49BC473F,2025-12-14,Portion,2,3,0.0,0.9,12.3,3.0,1.1,7.8,12.2,Sunday,Winter,1,9.9
CC9FD334,2025-10-02,Single Family Home,5,3,1.1,8.5,13.0,1.1,1.7,9.6,27.9,Thursday,Spring/Autumn,1,11.97
D7665CDA,2026-06-06,Portion,2,4,8.9,21.6,11.4,2.3,2.4,6.5,44.0,Saturday,Summer,1,30.04
4AB7706E,2026-01-09,Villa,7,8,0.0,2.6,12.5,2.8,1.3,9.9,15.8,Friday,Winter,1,14.51
25074181,2025-11-24,Single Family Home,2,5,0.0,2.3,10.4,1.6,1.2,10.5,11.6,Monday,Winter,1,9.51
81FB18B3,2025-10-12,Apartment,5,4,2.2,11.8,13.7,2.7,1.5,7.5,21.6,Sunday,Spring/Autumn,1,17.26
9475DBC9,2026-07-07,Portion,3,6,14.1,21.0,10.5,2.9,2.0,4.6,39.8,Tuesday,Summer,1,41.68
C34B9FBB,2026-01-21,Portion,6,4,0.0,2.9,13.9,0.8,1.5,8.2,17.9,Wednesday,Winter,0,10.51
DB23AA8C,2026-04-16,Apartment,6,4,2.1,7.6,12.7,2.2,1.7,10.9,20.2,Thursday,Spring/Autumn,1,17.64
61985D54,2025-11-25,Single Family Home,8,3,0.0,0.9,13.5,0.6,0.5,11.5,6.6,Tuesday,Winter,0,6.14
54FD9AD3,2026-05-21,Portion,2,6,6.9,22.9,11.6,0.1,2.0,7.8,35.6,Thursday,Summer,0,29.86
DEF57689,2026-03-03,Single Family Home,2,6,0.4,11.1,11.8,2.3,1.1,10.5,25.9,Tuesday,Spring/Autumn,1,18.78
65C17795,2026-03-01,Villa,7,7,3.0,5.2,10.4,2.0,1.4,8.4,25.0,Sunday,Spring/Autumn,1,20.09
C268283E,2026-01-01,Apartment,2,2,0.0,1.5,13.8,2.7,0.9,6.6,5.5,Thursday,Winter,1,7.63
1723199D,2025-12-12,Apartment,2,3,0.0,3.9,11.6,0.2,0.9,6.7,13.2,Friday,Winter,0,7.91
0769165F,2025-07-23,Apartment,5,3,12.6,19.7,10.1,2.6,2.4,5.0,39.5,Wednesday,Summer,1,30.26
87FA841A,2025-12-04,Single Family Home,3,4,0.0,0.3,10.8,0.2,1.3,11.2,13.5,Thursday,Winter,0,8.01
9EA556AA,2026-03-14,Portion,3,4,3.6,4.0,10.6,1.3,1.9,7.5,21.8,Saturday,Spring/Autumn,1,13.81
75A66981,2025-10-08,Apartment,8,3,0.1,4.1,11.0,0.3,1.8,7.0,27.9,Wednesday,Spring/Autumn,0,6.39
5876FD09,2026-07-03,Villa,7,10,11.3,20.9,13.1,2.0,2.2,4.4,42.4,Friday,Summer,1,43.86
32FFE294,2026-07-07,Portion,2,4,6.4,21.4,12.1,1.9,2.8,7.9,44.5,Tuesday,Summer,1,24.93
4BBE4AFF,2026-07-05,Villa,1,10,10.0,20.2,13.6,1.1,2.2,4.3,39.8,Sunday,Summer,1,41.43
90E0B95F,2026-05-19,Apartment,8,3,3.7,19.6,11.3,1.0,2.3,6.1,35.7,Tuesday,Summer,0,17.71
3810AE66,2026-02-25,Villa,3,10,0.0,0.4,13.4,0.7,1.2,10.6,14.1,Wednesday,Winter,0,16.43
0A17991E,2025-10-28,Portion,1,5,1.8,5.8,11.8,0.4,1.3,6.6,22.6,Tuesday,Spring/Autumn,0,12.38
53A3DD5A,2026-04-06,Single Family Home,4,4,1.5,5.2,10.3,2.7,1.9,6.6,28.0,Monday,Spring/Autumn,1,11.08
45C45A3E,2026-05-06,Villa,8,7,14.1,18.7,12.2,1.7,2.4,4.5,42.4,Wednesday,Summer,1,40.27
F6802CDB,2025-08-03,Single Family Home,7,5,13.5,22.4,13.9,2.2,2.6,5.4,41.7,Sunday,Summer,1,39.23
03902C5D,2025-10-11,Apartment,8,3,2.6,5.8,13.4,1.7,1.1,10.6,22.6,Saturday,Spring/Autumn,1,13.75
431D029F,2026-02-05,Villa,2,10,0.0,3.4,13.3,0.6,1.5,9.9,17.1,Thursday,Winter,0,15.51
E25D36EB,2026-06-17,Villa,4,10,14.3,15.2,12.8,0.3,1.8,5.4,44.3,Wednesday,Summer,0,41.46
E8CDA0CC,2026-03-20,Portion,2,4,2.3,7.2,12.5,0.0,1.1,10.5,30.4,Friday,Spring/Autumn,0,12.72
FEF518A6,2026-01-03,Apartment,4,4,0.0,1.4,12.9,2.6,0.9,9.4,11.3,Saturday,Winter,1,7.53
5EFA9C5B,2026-03-09,Portion,3,6,0.6,8.9,11.1,0.7,1.7,8.9,20.6,Monday,Spring/Autumn,0,15.09
687A4850,2026-06-15,Villa,1,10,6.5,13.4,11.1,2.4,2.1,5.9,37.7,Monday,Summer,1,33.0
F3579560,2025-10-01,Villa,2,10,1.6,8.8,11.2,1.4,1.0,6.8,20.5,Wednesday,Spring/Autumn,1,19.22
A5135EA0,2025-11-15,Portion,5,4,0.0,0.0,10.7,1.8,1.2,10.2,9.9,Saturday,Winter,1,8.96
D918B3E5,2026-05-04,Apartment,4,4,14.1,12.9,10.2,0.0,2.8,7.7,43.3,Monday,Summer,0,35.7
3E5A87E3,2026-07-03,Single Family Home,2,4,11.7,20.5,10.5,0.0,2.1,5.3,40.8,Friday,Summer,0,32.35
541C7A86,2026-04-16,Apartment,5,2,3.3,11.4,13.4,0.2,1.1,9.5,27.4,Thursday,Spring/Autumn,0,12.96
2CABD7E7,2025-08-16,Apartment,3,2,9.1,16.1,10.7,2.0,2.0,4.5,39.0,Saturday,Summer,1,23.11
3CE915E7,2026-02-07,Apartment,3,3,0.0,1.4,13.3,2.6,1.2,7.4,18.6,Saturday,Winter,1,6.77
6BC4123E,2026-01-15,Apartment,8,3,0.0,2.4,12.6,1.4,1.3,10.6,8.0,Thursday,Winter,1,8.67
73B6A09B,2026-01-07,Apartment,5,3,0.0,3.0,13.7,0.6,0.9,9.8,16.3,Wednesday,Winter,0,8.39
D8E88EBB,2025-11-30,Apartment,8,4,0.0,2.5,10.3,1.9,0.7,7.8,18.0,Sunday,Winter,1,6.94
E63658C9,2025-08-05,Single Family Home,2,4,5.0,15.7,10.2,2.7,2.2,4.3,35.6,Tuesday,Summer,1,22.1
8C611654,2026-03-24,Portion,5,6,2.5,8.1,12.2,2.6,1.5,11.4,30.3,Tuesday,Spring/Autumn,1,19.76
1D4A3D81,2026-05-15,Single Family Home,7,6,12.5,15.9,10.6,0.1,2.2,4.4,43.1,Friday,Summer,0,35.6
74188109,2025-11-29,Apartment,6,3,0.0,2.9,10.7,1.5,1.0,8.6,10.2,Saturday,Winter,1,7.35
5FD23109,2026-06-21,Portion,2,3,7.6,16.5,11.6,1.7,1.9,6.4,40.2,Sunday,Summer,1,24.13
6E8F75A1,2025-08-11,Villa,3,9,6.7,13.1,11.1,0.7,2.5,6.6,41.5,Monday,Summer,0,32.75
8FCA7B6A,2025-11-04,Apartment,7,3,0.0,1.3,10.6,1.7,1.1,11.8,18.1,Tuesday,Winter,1,9.19
0D2B91EF,2026-06-26,Villa,6,5,12.0,23.3,11.5,0.8,2.0,7.3,38.9,Friday,Summer,0,36.52
39681C81,2026-05-13,Villa,6,5,13.4,20.2,12.6,1.8,2.3,5.4,43.3,Wednesday,Summer,1,36.59
6DDA4F8D,2026-05-12,Apartment,5,2,3.3,23.4,10.9,0.1,2.2,4.3,36.8,Tuesday,Summer,0,16.22
4F199EC0,2026-06-09,Villa,1,6,6.6,22.0,10.2,0.3,2.8,7.1,36.0,Tuesday,Summer,0,29.04
11D059B2,2025-08-27,Apartment,2,4,7.6,22.0,13.2,0.2,2.7,5.8,38.8,Wednesday,Summer,0,26.52
5744F596,2025-09-02,Villa,6,9,8.4,17.3,13.0,0.4,1.9,6.1,41.8,Tuesday,Summer,0,34.59
284C03D2,2026-04-09,Apartment,2,3,1.9,10.7,13.8,3.0,1.4,8.8,29.7,Thursday,Spring/Autumn,1,13.08
9B69554D,2025-12-15,Villa,4,9,0.0,2.1,13.3,0.8,1.5,6.8,10.7,Monday,Winter,0,11.66
4882D73C,2026-03-12,Portion,5,3,3.5,8.4,13.4,0.9,1.1,7.7,27.7,Thursday,Spring/Autumn,0,15.1
0E0630CD,2025-07-09,Villa,4,6,7.4,13.8,13.8,1.4,2.2,5.8,37.7,Wednesday,Summer,1,26.75
01FA964E,2026-01-05,Portion,3,4,0.0,0.2,10.9,3.0,1.0,8.2,5.4,Monday,Winter,1,6.62
8011316B,2026-01-27,Villa,2,8,0.0,3.4,13.2,0.1,1.1,7.7,19.0,Tuesday,Winter,0,13.78
EBD14D2C,2025-08-04,Villa,7,9,7.4,20.5,10.0,1.2,2.2,5.0,42.0,Monday,Summer,1,36.6
4A1DAB32,2025-08-18,Apartment,6,2,13.3,18.3,11.2,1.6,1.7,4.2,40.5,Monday,Summer,1,28.65
5CA260C9,2025-08-08,Apartment,4,3,10.6,13.3,12.4,1.0,2.9,6.1,42.9,Friday,Summer,1,26.8
DEDAB027,2025-10-28,Villa,4,7,1.7,8.9,11.7,0.7,1.2,6.5,21.7,Tuesday,Spring/Autumn,0,18.16
1D30D990,2026-01-17,Single Family Home,6,5,0.0,2.1,14.0,2.1,1.0,8.3,6.0,Saturday,Winter,1,10.0
A53BC024,2026-05-01,Single Family Home,2,4,15.8,15.0,13.2,1.7,1.5,6.9,41.4,Friday,Summer,1,37.12
2722796E,2026-04-11,Apartment,3,4,2.9,6.7,12.2,2.6,1.0,7.1,29.3,Saturday,Spring/Autumn,1,15.55
9050F7EF,2026-04-11,Portion,6,5,2.8,9.1,10.3,2.6,1.8,8.7,25.6,Saturday,Spring/Autumn,1,17.15
780B3657,2025-12-15,Villa,5,9,0.0,0.8,13.7,0.5,0.5,11.9,5.7,Monday,Winter,0,15.08
4F76E388,2025-12-22,Apartment,1,3,0.0,3.0,11.4,2.6,0.7,11.2,8.8,Monday,Winter,1,7.9
FA34D2E8,2026-05-16,Portion,8,3,4.2,22.7,13.6,1.8,2.6,7.9,36.2,Saturday,Summer,1,21.11
925817B7,2026-03-02,Villa,8,9,3.7,8.2,12.9,0.1,1.8,9.6,26.0,Monday,Spring/Autumn,0,26.17
1A7F195B,2026-04-29,Villa,2,9,1.3,4.6,11.2,0.6,1.7,8.6,26.5,Wednesday,Spring/Autumn,0,18.5
7010ED13,2026-07-04,Single Family Home,6,5,6.4,22.4,14.0,1.5,2.0,7.9,38.5,Saturday,Summer,1,30.22
68A51C68,2026-04-16,Apartment,6,2,2.6,6.9,12.7,2.9,1.8,6.9,20.9,Thursday,Spring/Autumn,1,13.22
62F5DF2B,2025-10-18,Single Family Home,6,3,0.1,4.5,11.5,1.8,1.8,9.4,29.4,Saturday,Spring/Autumn,1,10.24
EAAFE543,2025-11-12,Portion,3,3,0.0,3.8,13.1,2.1,0.9,9.2,15.2,Wednesday,Winter,1,8.04
CAAA5BBE,2025-11-04,Single Family Home,2,6,0.0,1.0,12.9,2.0,0.6,8.3,14.7,Tuesday,Winter,1,10.05
2E25B5EE,2026-06-20,Villa,8,6,3.6,17.4,11.1,2.8,3.0,6.0,37.6,Saturday,Summer,1,23.3
27AA7CBC,2025-08-04,Apartment,1,4,10.5,22.8,10.4,2.4,2.2,7.4,43.5,Monday,Summer,1,31.33
218C6E1C,2026-02-10,Single Family Home,3,4,0.0,0.3,13.6,0.9,1.0,10.3,10.2,Tuesday,Winter,0,10.42
692E07B6,2025-11-17,Single Family Home,8,5,0.0,3.2,10.5,1.4,1.0,6.8,14.6,Monday,Winter,1,10.06
4F3949A8,2026-06-25,Portion,4,5,5.3,16.4,12.2,2.2,2.7,4.3,35.3,Thursday,Summer,1,23.06
